Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.20    0.06 1310570/6284620     is_data_size [36]
                0.75    0.24 4918747/6284620     is_format_vector [22]
[23]     6.5    0.96    0.30 6284620         get_data_id [23]
                0.30    0.00 6284620/11213078     is_little_end [34]
-----------------------------------------------
                0.00    1.07      99/99          TUI_inventory_add_merch [20]
[24]     5.5    0.00    1.07      99         ioopm_inventory_add_merchandise [24]
                0.00    0.71      99/99          create_merchandise [29]
                0.00    0.36      99/99          ioopm_hash_table_insert [39]
-----------------------------------------------
                0.00    0.95      99/99          TUI_inventory_add_merch [20]
[25]     4.9    0.00    0.95      99         ioopm_ask_new_inventory_merch [25]
                0.00    0.32      99/888         ask_question [18]
                0.00    0.32      99/289         ask_question_string [26]
                0.00    0.32      99/150         ask_question_u_int [35]
-----------------------------------------------
                0.00    0.00       1/289         ioopm_ask_admin_access [71]
                0.00    0.32      99/289         ioopm_ask_new_inventory_merch [25]
                0.00    0.61     189/289         ioopm_ask_question_string [31]
[26]     4.8    0.00    0.93     289         ask_question_string [26]
                0.00    0.93     289/888         ask_question [18]
-----------------------------------------------
                0.00    0.82      51/51          TUI_inventory_replenish_stock [12]
[27]     4.2    0.00    0.82      51         ioopm_inventory_replenish_new_shelf_stock [27]
                0.00    0.37     102/3939        ioopm_linked_list_append [9]
                0.00    0.27      51/589         h_alloc_data [17]
                0.00    0.18      51/4511        h_alloc_struct [5]
                0.00    0.00      51/3873        ioopm_hash_table_lookup [91]
-----------------------------------------------
                0.00    0.00       1/201         event_loop [4]
                0.00    0.00       1/201         main [1]
                0.00    0.00       1/201         ioopm_inventory_create [50]
                0.00    0.36      99/201         ioopm_hash_table_keys [10]
                0.00    0.36      99/201         create_merchandise [29]
[28]     3.7    0.00    0.73     201         ioopm_linked_list_create [28]
                0.00    0.73     201/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.71      99/99          ioopm_inventory_add_merchandise [24]
[29]     3.7    0.00    0.71      99         create_merchandise [29]
                0.00    0.36      99/4511        h_alloc_struct [5]
                0.00    0.36      99/201         ioopm_linked_list_create [28]
-----------------------------------------------
                0.00    0.64     199/199         event_loop [4]
[30]     3.3    0.00    0.64     199         ioopm_ask_menu [30]
                0.00    0.64     199/888         ask_question [18]
-----------------------------------------------
                0.00    0.16      51/189         TUI_inventory_replenish_stock [12]
                0.00    0.44     138/189         TUI_inventory_list_merch [7]
[31]     3.1    0.00    0.61     189         ioopm_ask_question_string [31]
                0.00    0.61     189/289         ask_question_string [26]
-----------------------------------------------
                0.54    0.04  110849/110849      do_move [16]
[32]     3.0    0.54    0.04  110849         get_size_struct [32]
                0.02    0.02  110849/4918747     is_format_vector [22]
-----------------------------------------------
                0.43    0.13 2727627/2727627     reset_all_been_visited [6]
[33]     2.9    0.43    0.13 2727627         reset_been_visited [33]
                0.13    0.00 2727627/11213078     is_little_end [34]
-----------------------------------------------
                0.00    0.00   47241/11213078     set_data_size [65]
                0.00    0.00   95477/11213078     set_been_visited [68]
                0.01    0.00  115360/11213078     set_format_vector [58]
                0.09    0.00 1942753/11213078     is_been_visited [40]
                0.13    0.00 2727627/11213078     reset_been_visited [33]
                0.30    0.00 6284620/11213078     get_data_id [23]
[34]     2.8    0.54    0.00 11213078         is_little_end [34]
-----------------------------------------------
                0.00    0.16      51/150         ioopm_ask_question_u_int [47]
                0.00    0.32      99/150         ioopm_ask_new_inventory_merch [25]
[35]     2.5    0.00    0.48     150         ask_question_u_int [35]
                0.00    0.48     150/888         ask_question [18]
-----------------------------------------------
                0.00    0.01   46652/1310570     get_data_size [63]
                0.01    0.03  127300/1310570     do_move [16]
                0.12    0.23 1136618/1310570     reset_all_been_visited [6]
[36]     2.1    0.14    0.26 1310570         is_data_size [36]
                0.20    0.06 1310570/6284620     get_data_id [23]
-----------------------------------------------
                0.00    0.00       1/100         destroy_carts [72]
                0.00    0.36      99/100         TUI_inventory_list_merch [7]
[37]     1.9    0.00    0.36     100         ioopm_list_iterator [37]
                0.00    0.36     100/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.36      99/99          ioopm_hash_table_insert [39]
[38]     1.8    0.00    0.36      99         entry_create [38]
