Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00      51/51          is_new_shelf [114]
                0.00    0.00       1/1           is_number_ [129]
-----------------------------------------------
                0.00    1.76     538/538         ask_question [18]
[19]    14.6    0.00    1.76     538         str_to_str [19]
                0.00    1.76     538/589         h_alloc_data [17]
-----------------------------------------------
                0.00    1.25      99/99          event_loop [3]
[20]    10.4    0.00    1.25      99         TUI_inventory_add_merch [20]
                0.00    0.66      99/99          ioopm_inventory_add_merchandise [24]
                0.00    0.59      99/99          ioopm_ask_new_inventory_merch [27]
                0.00    0.00      99/355         ioopm_hash_table_has_key [99]
-----------------------------------------------
                0.04    0.06  308281/3035908     do_move [15]
                0.35    0.50 2727627/3035908     reset_all_been_visited [6]
[21]     7.9    0.39    0.55 3035908         is_format_vector [21]
                0.36    0.20 3035908/4401781     get_data_id [22]
-----------------------------------------------
                0.01    0.00   55303/4401781     is_forward_address [66]
                0.15    0.08 1310570/4401781     is_data_size [30]
                0.36    0.20 3035908/4401781     is_format_vector [21]
[22]     6.7    0.52    0.28 4401781         get_data_id [22]
                0.28    0.00 4401781/9330239     is_little_end [26]
-----------------------------------------------
                0.08    0.00  180981/1771990     do_move [15]
                0.68    0.00 1591009/1771990     reset_all_been_visited [6]
[23]     6.3    0.76    0.00 1771990         get_size_format_vector [23]
-----------------------------------------------
                0.00    0.66      99/99          TUI_inventory_add_merch [20]
[24]     5.5    0.00    0.66      99         ioopm_inventory_add_merchandise [24]
                0.00    0.44      99/99          create_merchandise [32]
                0.00    0.22      99/99          ioopm_hash_table_insert [43]
-----------------------------------------------
                0.46    0.18 2727627/2727627     reset_all_been_visited [6]
[25]     5.3    0.46    0.18 2727627         reset_been_visited [25]
                0.18    0.00 2727627/9330239     is_little_end [26]
-----------------------------------------------
                0.00    0.00   47241/9330239     set_data_size [61]
                0.01    0.00   95477/9330239     set_been_visited [65]
                0.01    0.00  115360/9330239     set_format_vector [47]
                0.12    0.00 1942753/9330239     is_been_visited [36]
                0.18    0.00 2727627/9330239     reset_been_visited [25]
                0.28    0.00 4401781/9330239     get_data_id [22]
[26]     5.0    0.60    0.00 9330239         is_little_end [26]
-----------------------------------------------
                0.00    0.59      99/99          TUI_inventory_add_merch [20]
[27]     4.9    0.00    0.59      99         ioopm_ask_new_inventory_merch [27]
                0.00    0.20      99/150         ask_question_u_int [37]
                0.00    0.20      99/888         ask_question [18]
                0.00    0.20      99/289         ask_question_string [28]
-----------------------------------------------
                0.00    0.00       1/289         ioopm_ask_admin_access [71]
                0.00    0.20      99/289         ioopm_ask_new_inventory_merch [27]
                0.00    0.37     189/289         ioopm_ask_question_string [34]
[28]     4.8    0.00    0.57     289         ask_question_string [28]
                0.00    0.57     289/888         ask_question [18]
-----------------------------------------------
